"","#","label","duration","start time","end time","peak ampl(mean)","peak freq(0)","peak freq(1)","peak freq(2)","peak freq(3)","peak freq(4)","peak freq(5)","peak freq(6)","peak freq(7)","peak freq(8)","peak freq(9)","peak freq(10)","peak freq(11)","peak freq(12)","peak freq(13)","peak freq(14)","peak freq(15)","peak freq(16)","peak freq(17)","peak freq(18)","peak freq(19)","peak freq(20)","peak freq(21)","peak freq(22)","peak freq(23)","peak freq(24)","peak freq(25)","peak freq(26)","peak freq(27)","peak freq(28)","peak freq(29)","peak freq(30)","peak freq(31)","peak freq(32)","peak freq(33)","peak freq(34)","peak freq(35)","peak freq(36)","peak freq(37)","peak freq(38)","peak freq(39)","peak freq(40)","peak freq(41)","peak freq(42)","peak freq(43)","peak freq(44)","peak freq(45)","peak freq(46)","peak freq(47)","peak freq(48)","peak freq(49)","file"
"1937",1005,"flat",0.0143,566.6918,566.7061,-42.38,NA,NA,53700,53700,54100,54100,55100,54600,54600,54600,54600,55100,55100,55100,56100,56100,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57600,57600,57100,57100,57100,57600,57600,57600,57600,57100,57100,57100,57100,"T0000291"
"1938",1006,"short",0.0097,566.7282,566.7379,-43.23,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55600,55600,55600,55100,55100,55100,55100,55100,54600,"T0000291"
"1939",1009,"step up",0.0532,622.7788,622.8321,-76.41,NA,NA,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52200,52200,NA,52700,NA,NA,NA,52700,52700,52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76100,76600,NA,NA,"T0000291"
"1940",1010,"short",0.0051,623.2729,623.278,-68.7,NA,NA,NA,NA,NA,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,NA,NA,NA,NA,NA,76100,76100,76100,76100,76100,75600,75600,75600,75600,75600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1941",1011,"flat",0.0199,625.5656,625.5856,-76.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77100,77100,77600,77600,77600,76600,77600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75600,"T0000291"
"1942",1012,"short",0.0051,626.7391,626.7443,-58.82,NA,NA,NA,NA,NA,77600,77600,77600,77600,77600,NA,NA,NA,NA,NA,78100,78100,78100,78100,78100,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,NA,"T0000291"
"1943",1013,"short",0.0066,630.2755,630.2822,-46.86,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77100,77100,77100,77600,"T0000291"
"1944",1014,"multi-step",0.0266,630.4839,630.5106,-66.46,77100,77600,77600,77600,77600,77600,77600,77600,77600,78100,78100,78100,78600,NA,NA,NA,NA,83400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,51200,51200,51200,51200,NA,NA,NA,NA,84400,NA,NA,78600,78100,78100,77600,77600,NA,NA,"T0000291"
"1945",1015,"flat",0.0163,630.8735,630.8899,-73.31,NA,NA,45400,45400,NA,45400,45400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45800,46300,46300,45400,45400,45400,45400,45400,45400,45400,NA,"T0000291"
"1946",1016,"step up",0.0378,631.0932,631.1311,-71.03,46300,46300,46300,46300,46300,46300,46300,46300,NA,46300,46300,46300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68300,68300,68300,68300,67800,67300,"T0000291"
"1947",1017,"step up",0.0389,633.1033,633.1422,-63.77,NA,NA,NA,NA,46800,NA,NA,NA,NA,NA,NA,47300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78600,NA,NA,78100,78600,78100,78100,78100,77600,77600,77600,77100,NA,77100,77100,77100,77100,77100,76600,76600,76100,NA,NA,72200,72200,72200,NA,NA,"T0000291"
"1948",1018,"step up",0.0337,633.5216,633.5554,-72.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54600,54600,54600,54100,54100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78100,77600,77100,77100,"T0000291"
"1949",1019,"short",0.0051,635.6177,635.6229,-55.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72700,72700,72700,72700,72700,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,71700,71700,71700,71700,71700,71700,71700,71700,71700,NA,"T0000291"
"1950",1020,"short-dr",0.0087,636.0581,636.0668,-58.35,79500,79500,79500,79100,79100,79100,79500,79500,79500,79100,79100,79100,79100,79100,79100,79100,79100,79100,79100,79100,79100,78600,78600,78600,78600,78600,77100,77100,77100,76600,76600,76600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1951",1021,"flat",0.0276,643.3869,643.4145,-83.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62500,NA,NA,NA,NA,62500,62500,NA,62500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
