"","#","label","duration","start time","end time","peak ampl(mean)","peak freq(0)","peak freq(1)","peak freq(2)","peak freq(3)","peak freq(4)","peak freq(5)","peak freq(6)","peak freq(7)","peak freq(8)","peak freq(9)","peak freq(10)","peak freq(11)","peak freq(12)","peak freq(13)","peak freq(14)","peak freq(15)","peak freq(16)","peak freq(17)","peak freq(18)","peak freq(19)","peak freq(20)","peak freq(21)","peak freq(22)","peak freq(23)","peak freq(24)","peak freq(25)","peak freq(26)","peak freq(27)","peak freq(28)","peak freq(29)","peak freq(30)","peak freq(31)","peak freq(32)","peak freq(33)","peak freq(34)","peak freq(35)","peak freq(36)","peak freq(37)","peak freq(38)","peak freq(39)","peak freq(40)","peak freq(41)","peak freq(42)","peak freq(43)","peak freq(44)","peak freq(45)","peak freq(46)","peak freq(47)","peak freq(48)","peak freq(49)","file"
"2608",901,"flat",0.0599,155.9782,156.0381,-53.66,34600,34600,34600,34600,34600,34600,34600,34600,34100,34100,34100,34100,34100,34100,34100,34100,33600,33600,33600,33600,33200,NA,NA,NA,33200,33600,33200,33600,33600,33600,33200,33600,33600,33200,33200,33200,33200,33200,33200,32700,33200,NA,33200,32200,32200,32200,31700,31200,NA,NA,"T0000298"
"2609",909,"flat",0.0353,156.6417,156.6771,-68.2,NA,NA,45400,45400,45800,45400,45800,45800,45400,45400,45400,45400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44400,44900,44900,44900,44900,44400,NA,NA,"T0000298"
"2610",910,"step down",0.0286,156.7569,156.7856,-61.49,NA,NA,NA,NA,NA,61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44900,45400,45800,45800,45800,45800,45800,45800,45800,45400,45400,44900,44900,44900,44400,43900,43900,43900,43400,43400,NA,NA,NA,"T0000298"
"2611",914,"flat",0.0783,157.0524,157.1307,-60.05,NA,NA,NA,NA,NA,NA,NA,45800,NA,NA,NA,NA,NA,NA,NA,46300,46300,46800,46800,46300,46300,46800,46300,46300,46300,46300,46800,46300,46300,46300,46300,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,47300,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2612",920,"unclear",0.0179,157.6985,157.7164,-62.18,60000,60000,60500,60500,60500,60500,60500,60500,60500,61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59500,59500,59500,59500,59500,59000,59000,58500,58100,57600,"T0000298"
"2613",956,"flat",0.0194,176.0788,176.0982,-65.35,NA,NA,NA,NA,NA,NA,42400,42400,42400,42400,42400,42400,NA,NA,NA,NA,NA,NA,NA,43400,43400,43400,43400,43400,43400,43400,43900,43900,43400,43900,43900,43900,43900,43900,44400,43900,43900,43900,43900,NA,NA,NA,NA,44400,NA,NA,NA,NA,NA,NA,"T0000298"
"2614",957,"flat",0.0184,186.8702,186.8887,-68.7,51700,51700,51700,52200,52200,52200,52200,52700,52700,52700,52200,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,NA,53700,53700,53700,NA,NA,NA,NA,NA,53200,53200,NA,NA,NA,53200,53200,53200,53200,53200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2615",983,"flat",0.0619,198.7389,198.8008,-55.58,NA,45400,45400,NA,NA,46300,45800,46300,46300,46300,46800,46300,46800,46800,46800,46800,NA,46800,47300,46800,47300,47300,47300,47300,47300,47300,47300,47300,46800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47800,48300,48300,NA,49300,49300,49300,NA,NA,"T0000298"
"2616",986,"flat",0.0343,199.0865,199.1208,-83.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2617",988,"flat-z",0.0496,199.4752,199.5248,-47.38,NA,44900,45400,45400,45400,45400,45400,NA,44400,44400,43900,43900,43900,43900,43900,43900,44400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44400,44400,44400,44400,44400,44400,44400,44400,44400,43900,43900,43400,43400,42900,42900,42400,42400,39500,39500,40000,40000,40000,40500,40000,"T0000298"
"2618",990,"short",0.0081,199.5514,199.5596,-66.46,59500,59500,59500,59500,NA,NA,NA,59500,59500,59500,60000,60000,60000,60000,60000,60000,59500,59500,59500,59500,59500,59500,59500,59500,59500,59000,59000,59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2619",991,"flat",0.066,199.6528,199.7189,-64.68,NA,NA,37500,NA,37500,37100,37100,37100,36600,36600,36100,36100,36100,35600,35600,NA,NA,NA,NA,35100,35100,35600,35100,NA,NA,35100,35100,35100,NA,NA,34600,34600,34600,NA,NA,34600,NA,34600,NA,NA,34600,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2620",995,"flat",0.0819,199.8197,199.9017,-43.62,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,36600,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36600,36600,36600,36600,36600,36600,36600,NA,36100,36600,36600,36600,36600,36600,37100,36600,37100,36600,36600,NA,NA,36600,36600,36100,36100,35600,36100,"T0000298"
"2621",997,"step up",0.1617,200.0035,200.1653,-55.69,NA,37100,37100,37100,36600,36100,35600,35600,35100,34600,34600,NA,34100,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,34100,NA,NA,NA,NA,46300,46300,46300,45800,45800,46300,46300,46300,46300,46300,45800,45800,44900,44400,43900,43400,NA,NA,NA,"T0000298"
"2622",998,"flat",0.0757,200.2001,200.2759,-52.25,35600,35600,35600,35600,35600,35600,35100,35100,35100,35100,35100,35100,34600,34600,34600,34100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34100,34100,34100,34100,33600,33600,NA,33600,33600,33600,34100,34100,34100,34100,34100,34100,34100,34100,34600,34600,34100,34100,34100,33200,"T0000298"
"2623",999,"short",0.0051,200.3322,200.3374,-59.87,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57100,57100,57100,57100,57100,57100,57100,57100,57100,57600,"T0000298"
"2624",1000,"flat",0.067,200.3747,200.4418,-41.76,36600,37100,36600,36600,36600,36600,36100,36100,NA,36100,36100,35600,35600,35600,35600,35600,35100,35100,35100,35100,35100,35100,35100,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,34600,34600,34100,33600,"T0000298"
"2625",1001,"step down",0.0435,200.4705,200.514,-71.73,59500,59000,59000,59500,59500,60000,60500,61000,60500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38500,38500,38500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,40000,NA,NA,NA,39500,NA,NA,NA,NA,"T0000298"
"2626",1002,"flat",0.0348,200.5544,200.5893,-81.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36600,NA,36600,NA,36600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2627",1003,"short",0.002,202.1022,202.1043,-59.16,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,NA,"T0000298"
"2628",1004,"short",0.003,202.8651,202.8682,-63.21,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2629",1006,"short",0.0046,207.9651,207.9697,-61.49,NA,NA,NA,NA,NA,NA,72200,72200,72200,72200,72200,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,72700,"T0000298"
"2630",1007,"flat",0.0563,208.1213,208.1776,-58.19,46800,47300,47800,47800,48300,48300,48300,48300,48800,49300,49300,49300,49300,49800,49800,49800,49800,50200,50200,50200,50200,50700,50700,50700,51200,51200,51200,51200,51700,52200,52200,52700,52700,52700,53200,53200,53700,53700,54100,54100,54600,54600,54600,55100,55100,55100,55100,54600,55100,54600,"T0000298"
"2631",1009,"flat",0.1018,208.5073,208.6092,-46.58,42900,43400,43400,43400,NA,43400,43400,43400,43400,42900,43400,42900,43400,43400,43900,43900,44400,44400,44400,44400,44400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,42900,42900,42900,42400,42900,42900,42900,42900,42900,42400,NA,41900,41900,41900,41900,41500,41500,40500,"T0000298"
"2632",1010,"step up under short-ur",0.1587,208.7142,208.8729,-57.75,NA,36100,36100,35600,NA,NA,NA,35100,35100,35100,35100,35100,NA,35100,NA,35100,35600,35600,35600,36100,36100,36100,36100,36100,36100,35600,35600,35600,35600,35600,35600,35600,35600,35600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55100,54100,53700,"T0000298"
"2633",1014,"flat",0.0419,208.9932,209.0352,-71.73,47800,NA,NA,NA,NA,NA,NA,NA,48300,48800,48300,48800,48800,49300,49300,NA,50200,NA,NA,NA,NA,NA,NA,49800,50200,NA,NA,NA,NA,NA,NA,NA,52700,53200,52700,NA,NA,NA,53700,53700,53700,53700,NA,53700,53700,NA,NA,NA,55600,55600,"T0000298"
"2634",1015,"step down",0.0819,209.1207,209.2026,-49.56,59500,NA,NA,NA,NA,46800,NA,47800,48300,48300,48300,48800,48800,48800,48800,48300,48300,48300,47800,47800,47300,47300,46800,46300,46300,46300,45800,45800,45800,45800,45800,45800,45400,45400,45800,45800,45800,45800,45800,45800,45800,46300,46800,46800,47300,47800,48300,48300,47800,NA,"T0000298"
"2635",1016,"flat",0.043,209.3091,209.3521,-52.89,NA,NA,44900,44900,44900,44900,NA,45400,45800,45800,NA,NA,46300,46300,46300,46300,46800,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47800,47800,47800,48300,48300,48300,48800,48800,48800,49300,NA,49800,50200,50700,NA,"T0000298"
"2636",1017,"short",0.0061,209.4146,209.4208,-70.39,NA,NA,NA,NA,NA,43400,43400,43400,43400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,NA,"T0000298"
"2637",1018,"unclear",0.0194,209.6035,209.623,-68.2,48300,48300,48300,48300,48800,48800,48800,48800,48800,48800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200,50700,50700,50700,51200,51200,50700,50700,50200,50200,48300,48300,48800,47300,NA,NA,"T0000298"
"2638",1019,"flat",0.0414,209.7494,209.7909,-66.46,50200,49800,NA,NA,NA,NA,NA,NA,48800,48800,48800,NA,48800,48800,48300,48800,48300,48300,48300,48300,NA,NA,NA,NA,NA,NA,NA,49300,49300,48800,48800,49800,49800,49800,50200,50200,50200,50700,50700,NA,NA,NA,NA,NA,53700,54600,55100,55100,55100,55100,"T0000298"
"2639",1020,"multi-step-s",0.0552,210.0157,210.071,-76.41,62500,62500,NA,63900,NA,NA,NA,NA,NA,NA,43400,43400,43400,43900,43900,NA,NA,NA,NA,NA,44900,NA,NA,NA,NA,NA,NA,NA,NA,43900,NA,NA,NA,NA,NA,NA,NA,62000,61500,61500,61500,61500,62000,62900,63400,64900,66400,NA,67300,NA,"T0000298"
"2640",1021,"short",0.0061,210.2446,210.2507,-66.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52700,52700,52700,52700,52200,52200,52200,52200,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2641",1024,"short",0.003,210.3721,210.3751,-51.1,63400,63400,63400,63400,63400,63400,63400,63400,63400,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,"T0000298"
"2642",1026,"short",0.0071,210.7304,210.7376,-61.49,NA,NA,NA,NA,43400,43400,43400,43400,43400,43400,43400,43900,43900,43900,43900,43900,43900,43900,44400,44400,44400,43900,43900,43900,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,43900,43900,43900,43900,NA,NA,NA,NA,"T0000298"
"2643",1028,"flat",0.172,210.881,211.053,-47.2,41900,43400,44400,44400,44400,44400,43900,43900,43900,43400,42900,43400,42400,42400,41900,41900,41500,NA,NA,NA,NA,NA,NA,41000,41500,41500,41500,41500,41000,41500,41500,41500,42400,41900,42400,42400,42400,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,42900,NA,NA,"T0000298"
"2644",1029,"flat",0.1582,211.161,211.3192,-58.04,39000,40500,40500,NA,40500,40500,40500,40000,39500,39500,39500,39000,39000,38500,38000,38000,38000,37500,37500,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,36600,37100,36100,36100,36600,NA,NA,NA,NA,NA,NA,NA,36600,37100,37500,NA,"T0000298"
"2645",1042,"complex",0.1198,213.8915,214.0113,-54.42,NA,49300,48800,NA,49800,NA,NA,NA,49800,NA,NA,NA,NA,49300,49300,49300,48800,48800,NA,NA,47800,47800,47300,47300,47300,46800,46300,45800,44900,NA,NA,NA,45400,46800,46300,NA,NA,44400,44900,46300,46800,46800,46300,46300,46300,45800,45400,44900,43900,43900,"T0000298"
"2646",1043,"flat-mz",0.1438,214.1322,214.276,-52.1,NA,35600,35600,36100,35600,35600,35100,35100,35100,35100,35100,34600,34600,34600,35100,35100,35100,35100,35600,35600,36100,36600,37100,NA,39500,40000,40500,40500,41000,41500,41000,41000,40500,41000,41900,42400,41900,41900,36600,36600,36600,36600,37100,37100,37100,37100,37100,36100,36100,35600,"T0000298"
"2647",1044,"flat",0.1126,214.3953,214.508,-48.55,35100,35600,35100,35100,35100,35100,35100,35100,35100,35100,34600,34600,34600,34600,34600,34600,34600,35100,35100,35100,35100,35100,35100,35100,35100,34600,34600,34600,34600,34600,34100,34100,34100,34100,34600,34600,34600,34600,34600,35100,35100,35100,35100,35100,35100,35100,35100,35100,34600,NA,"T0000298"
"2648",1046,"flat",0.0798,214.6124,214.6923,-56.66,NA,35100,35100,35100,35100,35100,34600,34600,34600,34600,34600,34100,34100,34100,34100,33600,33600,33600,33600,33200,33200,33200,32700,32700,33200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32200,NA,NA,"T0000298"
"2649",1050,"flat",0.1064,217.5702,217.6768,-40.09,43900,44400,44900,45400,45400,45800,45800,46300,46800,46800,46800,46300,45800,45400,45400,44900,44900,44400,44400,44400,44400,44900,44400,44400,44900,44400,44400,44400,44400,44400,44400,44900,44900,44900,45400,45400,44900,44900,44900,44400,44400,44400,44400,44900,44900,44400,44400,44400,43900,42900,"T0000298"
"2650",1051,"flat",0.0209,217.7602,217.7812,-77.75,NA,NA,NA,NA,NA,NA,42900,42900,43400,42900,43400,42900,42900,42900,NA,42900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2651",1055,"flat",0.0194,218.265,218.2845,-81.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36100,36100,36100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2652",1060,"short",0.0066,221.4451,221.4517,-60.84,NA,NA,NA,NA,70300,70300,70300,70300,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2653",1073,"short",0.0056,223.5089,223.5146,-63.48,NA,NA,NA,NA,NA,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,46800,46800,46800,46800,"T0000298"
"2654",1074,"short",0.0071,223.6416,223.6487,-79.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,47300,47300,47300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46300,"T0000298"
"2655",1079,"short",0.0076,227.3786,227.3863,-60.64,48300,48300,48300,48300,47800,47800,47800,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,48300,48300,48300,48800,48800,48800,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,49300,49300,49300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49300,49300,49300,49300,"T0000298"
"2656",1080,"short",0.0046,228.4584,228.4631,-64.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,NA,"T0000298"
"2657",1081,"complex",0.0501,228.7687,228.8189,-81.27,NA,NA,NA,NA,NA,51200,NA,NA,NA,NA,NA,53700,54100,54100,54100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,NA,NA,NA,54600,NA,NA,56100,56100,56100,NA,NA,NA,NA,"T0000298"
"2658",1082,"unclear",0.0291,228.9597,228.9889,-93.31,NA,NA,NA,NA,NA,NA,NA,45800,46300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2659",1083,"short",0.0051,229.0473,229.0524,-67.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56600,56600,56600,56600,56600,57100,57100,57100,57100,57100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,NA,"T0000298"
"2660",1084,"short",0.0061,229.1025,229.1087,-66.07,51200,51200,51200,51200,51200,51200,51200,51200,51200,51700,51700,51700,51700,51700,51700,51700,51700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2661",1086,"short",0.0076,229.9376,229.9453,-79.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,47300,47300,NA,NA,NA,NA,"T0000298"
"2662",1088,"flat-z",0.022,230.3124,230.3344,-76.41,46800,46800,46800,46800,46800,46800,46800,46800,NA,NA,NA,NA,NA,NA,NA,47800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,51700,51700,51700,51700,51700,51700,51200,51200,NA,NA,NA,NA,NA,"T0000298"
"2663",1090,"short",0.0051,230.6887,230.6938,-76.41,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2664",1092,"short",0.0107,230.7752,230.786,-62.68,51700,51700,51700,52200,52200,NA,NA,52200,52200,52200,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,NA,NA,NA,NA,NA,"T0000298"
"2665",1095,"short",0.0112,231.0681,231.0794,-67.73,NA,NA,NA,NA,NA,43900,43900,44400,44400,43900,43900,43900,NA,NA,NA,NA,NA,NA,44400,44400,44400,NA,NA,NA,NA,44400,44400,NA,NA,44400,44400,44400,44400,44400,44900,44900,43900,43900,43900,43900,43900,43900,43900,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2666",1099,"flat",0.0573,231.3185,231.3758,-61.94,NA,46800,46800,47300,47800,47800,48300,47800,48300,48300,48800,49300,49300,49800,49800,49800,50200,50200,50700,50700,50200,50200,50200,50200,50200,NA,NA,50200,50700,NA,NA,50700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,47300,47300,47300,47300,47300,46800,"T0000298"
"2667",1103,"unclear",0.0353,231.5294,231.5648,-59.87,NA,NA,NA,NA,NA,NA,NA,50200,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48300,49300,49800,50200,50700,50700,51200,51200,51700,51700,51700,52200,52200,51700,52200,52200,51700,51700,51200,50700,50200,"T0000298"
"2668",1105,"flat",0.0209,231.6799,231.7009,-73.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,51700,51700,52200,52200,51700,52200,52200,52200,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,NA,NA,NA,NA,"T0000298"
"2669",1109,"flat",0.0204,232.4096,232.43,-52.8,46800,46800,46800,47300,47800,47800,47800,47800,47800,48300,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48300,48300,48300,48300,48300,48300,48300,48300,NA,48300,NA,NA,"T0000298"
"2670",1110,"flat",0.0245,232.6394,232.664,-69.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49800,NA,49800,NA,NA,49800,50200,50200,50700,50700,50700,50700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,51700,52200,52200,51700,51200,51200,50700,"T0000298"
"2671",1111,"flat",0.0153,232.7843,232.7997,-59.33,NA,NA,NA,NA,47300,47300,47300,47300,47300,47800,48300,48300,48300,48300,48300,NA,NA,NA,NA,NA,NA,NA,49800,49300,49300,49300,49300,49300,49800,49800,49800,49800,49300,49300,49300,49300,49300,49300,49300,49300,48800,NA,NA,48300,48300,48300,NA,NA,NA,NA,"T0000298"
"2672",1115,"short",0.0046,233.3132,233.3178,-67.29,75600,75600,75600,75600,75600,75600,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,"T0000298"
"2673",1119,"step up",0.0261,233.9932,234.0193,-55.69,NA,NA,49300,49300,49800,49800,50200,50200,50700,50700,51200,51200,51200,51200,51200,51700,51700,51200,51700,51200,51200,51200,51200,51200,50700,50700,50700,50700,50700,50700,50700,50700,50200,NA,NA,NA,NA,NA,NA,NA,83900,83900,83400,83400,NA,NA,NA,NA,NA,NA,"T0000298"
"2674",1126,"flat",0.0384,238.1061,238.1445,-55.03,NA,NA,53200,NA,53200,53200,53700,53700,53200,53700,53700,53200,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52700,52700,52700,53700,53700,53700,53700,54100,54100,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,"T0000298"
"2675",1128,"flat",0.0614,238.5843,238.6457,-60.05,NA,NA,45400,45400,45400,45800,45400,NA,45800,46300,NA,NA,46800,47300,47300,47300,47300,47300,NA,NA,46800,47300,47300,47800,48300,48300,48300,48300,48300,48300,47800,47800,47800,47800,47800,47800,47300,47300,46800,46800,46800,46800,46800,46300,45800,45800,45800,45800,45400,NA,"T0000298"
"2676",1132,"flat",0.0256,239.3159,239.3415,-67.29,NA,NA,NA,86900,86400,86400,86400,86900,86900,86900,86900,NA,86400,85900,86400,86400,86900,NA,NA,85900,86400,86400,86400,86400,86900,NA,86900,NA,NA,NA,NA,NA,NA,NA,NA,88300,88300,87800,NA,NA,NA,NA,NA,87400,87400,86900,87400,NA,NA,NA,"T0000298"
"2677",1156,"short",0.004,254.2842,254.2883,-61.71,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2678",1162,"short-ur",0.003,257.9891,257.9921,-61.94,62900,62900,62900,62900,62900,62900,62900,62900,62900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
"2679",1178,"flat",0.0588,262.6396,262.6984,-75.25,NA,NA,NA,NA,NA,NA,NA,NA,42900,42900,42900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42900,42900,43400,NA,NA,NA,NA,NA,NA,NA,42400,42400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000298"
