file.name,label,start.time
T0000109,unclear,871.8463
T0000109,unclear,871.9063
T0000109,short,875.478
T0000109,short,875.7324
T0000109,short,876.1477
T0000109,short,876.5859
T0000109,short,877.2587
T0000109,short,877.3391
T0000109,flat,881.8242
T0000109,short,881.9246
T0000109,short,882.8339
T0000109,short,882.9414
T0000109,unclear,893.6622
T0000111,flat,0.0092
T0000111,short-ur,0.3496
T0000111,flat,0.5442
T0000111,flat,0.6748
T0000111,flat,0.8683
T0000111,flat,1.0675
T0000111,flat,1.2446
T0000111,flat over flat harmx,1.3798
T0000111,flat harmx,1.6235
T0000111,flat,2.4524
T0000111,flat harmx,2.6536
T0000111,flat over flat harmx,2.8446
T0000111,flat harmx,3.0141
T0000111,flat under flat,3.0817
T0000111,flat under flat,3.2977
T0000111,flat harmx,3.5225
T0000111,flat harmx,3.6725
T0000111,flat,4.4451
T0000111,flat,4.6397
T0000111,flat harmx,5.8624
T0000111,flat harmx,6.0538
T0000111,flat harmx,6.2228
T0000111,flat harmx,6.936
T0000111,flat harmx,7.4352
T0000111,flat harmx,7.6482
T0000111,short,7.8325
T0000111,flat,8.0143
T0000111,flat harmx,8.6067
T0000111,flat harmx,8.7587
T0000111,step down under flat,9.2129
T0000111,short,9.8442
T0000111,flat,10.6526
T0000111,flat,11.4355
T0000111,flat,11.737
T0000111,flat,12.1256
T0000111,flat,12.2618
T0000111,flat,12.4666
T0000111,flat,12.7001
T0000111,flat,12.9198
T0000111,flat,13.1235
T0000111,flat,13.3294
T0000111,flat,13.5265
T0000111,flat,13.7241
T0000111,flat,13.9151
T0000111,step up,14.1204
T0000111,flat,14.3237
T0000111,flat under flat,14.5346
T0000111,flat,14.7425
T0000111,flat,14.9237
T0000111,flat,15.1075
T0000111,flat,15.6738
T0000111,flat,15.9129
T0000111,flat,16.1648
T0000111,flat,16.3901
T0000111,flat,16.6292
T0000111,flat,16.857
T0000111,flat,17.0613
T0000111,flat,17.2718
T0000111,flat,17.43
T0000111,flat,20.7482
T0000111,step up,21.1322
T0000111,flat,21.2838
T0000111,short,21.5029
T0000111,flat,21.7492
T0000111,short,21.9115
T0000111,flat,22.0451
T0000111,step up,22.4844
T0000111,flat-z,22.7174
T0000111,short,23.022
T0000111,flat,25.2625
T0000111,flat harmx,27.6172
T0000111,flat harmxNOISE,27.7862
T0000111,flat harm,27.9557
T0000111,flat over flat,28.6295
T0000111,short,30.8833
T0000111,flat,30.9836
T0000111,flat under short,31.1649
T0000111,flat,32.7971
T0000111,short,33.0081
T0000111,flat,33.1489
T0000111,flat,33.3184
T0000111,flat,33.4586
T0000111,flat under short,33.6542
T0000111,flat-z,33.8657
T0000111,flat,34.0741
T0000111,flat,34.2778
T0000111,flat under flat,34.4744
T0000111,flat under flat,34.667
T0000111,flat,34.8794
T0000111,flat,37.8767
T0000111,short,38.038
T0000111,flat,38.5351
T0000111,complex,39.5796
T0000111,short,39.9595
T0000111,step up,40.2682
T0000111,step up,40.4101
T0000111,flat,40.6973
T0000111,flat,40.9441
T0000111,short,41.0833
T0000111,flat,41.8165
T0000111,flat,42.3321
T0000111,flat,42.5507
T0000111,flat,44.1103
T0000111,flat,44.3028
T0000111,flat,44.4595
T0000111,flat under flat,44.8727
T0000111,flat under flat,45.0252
T0000111,flat,45.2213
T0000111,flat,45.4159
T0000111,flat,47.8177
T0000111,flat,48.0563
T0000111,flat,48.2452
T0000111,flat,48.4136
T0000111,flat,48.5831
T0000111,flat,48.7833
T0000111,step down,48.92
T0000111,flat,49.0618
T0000111,flat-z,49.3404
T0000111,short,49.5447
T0000111,flat,49.9082
T0000111,flat,50.07
T0000111,trill,50.2123
T0000111,flat,50.2502
T0000111,flat,51.5471
T0000111,flat harmx,51.6884
T0000111,flat,51.8737
T0000111,flat,53.1875
T0000111,flat under flat,53.4574
T0000111,flat harmx,53.9535
T0000111,flat,55.7731
T0000111,flat,55.9713
T0000111,flat,56.174
T0000111,flat,56.3701
T0000111,flat,56.7403
T0000111,flat,56.963
T0000111,flat,57.1965
T0000111,flat,57.558
T0000111,short,61.4533
T0000111,flat,61.6468
T0000111,short,62.0743
T0000111,flat,62.7302
T0000111,flat,62.8659
T0000111,flat,63.1541
T0000111,flat harmx,63.5648
T0000111,flat,63.7388
T0000111,flat,63.9211
T0000111,step down under flat,64.0727
T0000111,flat,64.2682
T0000111,flat,64.4387
T0000111,flat,64.6435
T0000111,flat,64.7905
T0000111,flat,65.0163
T0000111,flat,65.2088
T0000111,flat harmx,65.4248
T0000111,flat,65.6634
T0000111,flat,65.8232
T0000111,short,65.9711
T0000111,flat,66.1847
T0000111,flat,66.2958
T0000111,flat,66.4734
T0000111,flat,66.6485
T0000111,flat,66.8231
T0000111,flat under short-c,68.4492
T0000111,flat,68.9689
T0000111,flat,69.9596
T0000111,flat,70.1926
T0000111,flat,70.423
T0000111,flat,70.6549
T0000111,flat,70.8608
T0000111,flat,71.0538
T0000111,flat,71.2601
T0000111,flat,71.4849
T0000111,flat,72.1858
T0000111,flat,72.3696
T0000111,flat,72.7511
T0000111,flat,72.9077
T0000111,flat harmx,73.1996
T0000111,flat harmx,73.3824
T0000111,flat,73.8329
T0000111,short-dr,73.9563
T0000111,flat,75.885
T0000111,flat,77.3934
T0000111,flat harmx,78.3329
T0000111,flat,78.4767
T0000111,flat,78.6621
T0000111,flat,78.8444
T0000111,flat,83.2276
T0000111,multi-step,83.9475
T0000111,short,84.2798
T0000111,flat under short,84.7324
T0000111,flat harm,84.9505
T0000111,flat harm,85.1251
T0000111,flat harmx,85.3524
T0000111,flat harmx,85.5388
T0000111,flat,85.7507
T0000111,flat,85.9514
T0000111,flat,86.1306
T0000111,flat,86.3365
T0000111,flat,86.5341
T0000111,flat,86.7276
T0000111,flat,87.3692
T0000111,flat,88.0829
T0000111,flat,88.4213
T0000111,flat-mz harmx,89.5257
T0000111,flat-z,89.7413
T0000111,short,91.4744
T0000111,flat,94.08
T0000111,step up,94.5361
T0000111,short,94.7087
T0000111,flat,94.8474
T0000111,flat,94.9944
T0000111,flat,95.1377
T0000111,flat,95.3256
T0000111,flat,95.7015
T0000111,flat,95.8592
T0000111,short,98.0741
T0000111,step down,98.3552
T0000111,flat,100.4656
T0000111,flat,100.7774
T0000111,flat,101.0554
T0000111,flat,101.3068
T0000111,flat,101.5685
T0000111,flat,101.8147
T0000111,flat,102.0584
T0000111,flat,102.3027
T0000111,flat,103.2535
T0000111,flat,103.4485
T0000111,flat,104.939
T0000111,flat,106.2318
T0000111,unclear,107.2204
T0000111,flat,111.5243
T0000111,short,112.0896
T0000111,flat,112.2263
T0000111,flat,112.3676
T0000111,flat,112.5386
T0000111,flat,112.7229
T0000111,flat,112.9666
T0000111,flat,113.1514
T0000111,flat,113.3619
T0000111,flat,113.5549
T0000111,flat,113.7489
T0000111,flat,113.9363
T0000111,flat,114.094
T0000111,flat,114.3019
T0000111,flat,117.8946
T0000111,flat,118.1163
