"file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"T0000027","flat",0.0174,294.0451,NA,NA,NA,48800,48800,49800,49300,49300,49300,49300,49300,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,51200,51200,50700,51200,51200,50700,50700,50700,50700,50700,50700,50700,50200,NA,NA,51200,NA,NA,NA,NA,NA
"T0000027","flat",0.0414,297.8713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0235,298.0669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0486,304.3404,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,NA,NA,NA,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,41500,41000,41000,41500,41000,41000,NA,NA,NA
"T0000027","flat",0.0189,304.579,42400,42400,42900,42400,42400,42400,42400,42400,41900,41900,NA,NA,NA,NA,NA,NA,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,41900,41500,41900,41900,41500,41500,41500,41500,41500,41500,41500,41500,NA,NA,NA,NA,NA,40500,40500,40500,40500,NA,NA,NA
"T0000027","flat",0.0675,305.409,NA,NA,40000,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41000,41500,41500,41500,41500,41500,41500,NA,NA,NA,40500,41000,40500,NA,NA,NA,NA,NA,NA,40000,40500,41000,41000,41500,41500,41500,41000,41500,41000,NA,NA
"T0000027","2 flat 1 flat-mz",0.323,305.6511,NA,41900,41500,41500,41900,41500,41500,41900,42400,42400,41900,42400,42400,42400,42400,41900,42400,42400,42400,42400,41900,NA,NA,NA,NA,NA,NA,NA,44400,45400,44900,44400,43400,42900,42900,42400,41900,41900,41500,NA,NA,48300,48300,48300,46800,38000,NA,NA,NA,NA
"T0000027","flat ov complex",0.086,306.1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39500,41000,42400,42400,42400,42400,42400,41500,NA,NA,NA,NA,41900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41500,NA,41500,41000,NA,NA,NA,NA,38000,NA,NA,40500,39500,NA,39000,38500,NA
"T0000027","complex under flat",0.1848,306.2563,45400,44900,42900,NA,NA,41900,44400,45400,42900,NA,39500,41500,43400,43900,43900,43400,42400,48300,48300,47800,47300,45800,45400,44400,42900,42900,42900,42900,42900,42900,NA,42900,42900,42900,NA,NA,NA,42400,42400,42900,41900,40500,39000,39500,41000,41000,41000,40500,39000,NA
"T0000027","flat",0.0358,306.6188,NA,NA,NA,NA,NA,39000,39500,40500,40500,40500,41000,41500,NA,NA,41900,42900,42400,42400,42900,NA,NA,41900,42400,42400,42400,42400,NA,41500,NA,NA,NA,NA,42900,42400,41900,41500,41500,41500,41000,41000,41000,41000,NA,41900,41900,NA,41900,42400,42400,NA
"T0000027","short-c",0.004,306.7202,87400,87400,87400,87400,87400,87400,87400,NA,NA,NA,NA,NA,NA,88300,88300,88300,88300,88300,88300,88800,88800,88800,88800,88800,88800,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.11,306.8349,41500,NA,42400,41500,41500,41500,40500,40000,39500,39500,39500,39000,39500,39500,40000,40500,40500,40500,40500,NA,40500,NA,NA,NA,NA,NA,NA,40500,40500,NA,39500,39000,39000,NA,39500,39500,38500,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,37100,37100,NA
"T0000027","complex",0.0373,307.0422,38000,38500,38500,39000,38500,39000,39000,38500,38500,38500,38500,38000,38000,38000,38000,38500,38500,39000,40000,40000,40500,NA,41500,42900,42900,44400,44900,44900,45400,45800,45800,45800,45800,45400,45400,44400,44400,44400,44400,43900,43900,43900,43400,43400,43400,43400,43400,43400,NA,NA
"T0000027","flat",0.0133,307.672,61000,61000,60500,60500,60500,60500,60500,60500,61000,61000,61000,61000,60500,60500,60500,60500,60500,60500,60500,60500,60500,61000,61000,61000,61000,61500,61500,61500,61500,61500,61500,61500,61500,61000,61000,61000,61000,61000,61000,61000,60500,60500,60500,60500,60000,60000,60000,60000,60000,NA
"T0000027","complex",0.066,307.8348,NA,41900,42400,NA,NA,NA,NA,NA,NA,NA,41900,41900,43400,43400,43400,43400,42900,42900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41500,41900,41900,41900,41900,42900,42400,42900,42900,43900,43900,44400,44400,43900,43900,43900,44900,44900,45400,NA,NA
"T0000027","flat",0.0742,308.0268,NA,NA,41900,42400,42900,42900,43400,43900,43900,43900,43900,43900,43900,43400,43900,43900,43400,42900,NA,42400,42400,42400,42400,42400,42400,41900,41500,41900,NA,NA,NA,40500,NA,NA,39500,39500,40000,39500,39500,NA,NA,39500,NA,NA,NA,40000,NA,39500,39500,NA
"T0000027","short",0.0092,311.8146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84900,84900,84900,83900,83900,83900,83900,83900,NA
"T0000027","flat",0.023,314.3992,NA,NA,NA,84400,84900,84900,84900,84900,85400,85400,84900,85400,85400,85400,85400,85400,NA,85900,86400,86400,86400,86900,86900,87400,86900,86900,86900,NA,NA,NA,NA,NA,88300,88800,88800,88300,88300,88300,88800,88800,NA,87800,87800,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0133,314.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84900,84900,84400,84400,84900,84900,NA,NA,83900,83900,84400,84400,NA,NA,NA,NA
"T0000027","flat",0.046,315.0131,NA,NA,41500,41500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41500,40500,NA,NA,NA,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0491,315.5046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.1305,315.7933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41900,41500,41500,41500,41500,41500,NA,NA,NA,41900,NA,NA,41900,NA,41900,41900,41900,41900,41500,41500,41500,41500,NA,NA,NA
"T0000027","flat",0.1285,316.0591,NA,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,40500,NA,NA,NA,NA,NA,NA,41500,41000,41000,41000,41000,41000,41500,40500,41500,NA
