"","label","file.name","recording","strain"
"523","trill-f","T0000253","PupsSep","SD"
"524","trill","T0000253","PupsSep","SD"
"525","multi-step","T0000253","PupsSep","SD"
"526","complex","T0000253","PupsSep","SD"
"527","flat","T0000253","PupsSep","SD"
"528","flat","T0000253","PupsSep","SD"
"529","trill-c","T0000253","PupsSep","SD"
"530","trill","T0000253","PupsSep","SD"
"531","trill-f","T0000253","PupsSep","SD"
"532","short-c","T0000253","PupsSep","SD"
"533","flat","T0000253","PupsSep","SD"
"534","short","T0000253","PupsSep","SD"
"535","trill","T0000253","PupsSep","SD"
"536","flat","T0000253","PupsSep","SD"
"537","short","T0000253","PupsSep","SD"
"538","trill","T0000253","PupsSep","SD"
"539","unclear","T0000253","PupsSep","SD"
"540","short","T0000253","PupsSep","SD"
"541","upward ramp","T0000253","PupsSep","SD"
"542","short","T0000253","PupsSep","SD"
"543","flat","T0000253","PupsSep","SD"
"544","multi-step","T0000253","PupsSep","SD"
"545","multi-step-s","T0000253","PupsSep","SD"
"546","complex","T0000253","PupsSep","SD"
"547","short-c","T0000253","PupsSep","SD"
"548","short","T0000253","PupsSep","SD"
"549","trill-c","T0000253","PupsSep","SD"
"550","trill","T0000253","PupsSep","SD"
"551","flat","T0000253","PupsSep","SD"
"552","unclear","T0000253","PupsSep","SD"
"553","trill-c","T0000253","PupsSep","SD"
"554","flat under trill","T0000253","PupsSep","SD"
"555","step up","T0000253","PupsSep","SD"
"556","short over flat","T0000253","PupsSep","SD"
"557","inverted-u","T0000253","PupsSep","SD"
"558","upward ramp","T0000253","PupsSep","SD"
"559","complex","T0000253","PupsSep","SD"
"560","upward ramp","T0000253","PupsSep","SD"
"561","trill","T0000253","PupsSep","SD"
"562","flat","T0000253","PupsSep","SD"
"563","flat","T0000253","PupsSep","SD"
"564","multi-step-s","T0000253","PupsSep","SD"
"565","short-sd","T0000253","PupsSep","SD"
"566","flat","T0000253","PupsSep","SD"
"567","short-dr","T0000253","PupsSep","SD"
"568","short","T0000253","PupsSep","SD"
"569","short","T0000253","PupsSep","SD"
"570","trill-f","T0000253","PupsSep","SD"
"571","trill","T0000253","PupsSep","SD"
"572","step up","T0000253","PupsSep","SD"
"573","flat","T0000253","PupsSep","SD"
"574","flat-mz","T0000302","PupsSep","WK"
"575","short","T0000302","PupsSep","WK"
"576","trill","T0000302","PupsSep","WK"
"577","trill-c","T0000302","PupsSep","WK"
"578","trill-c","T0000302","PupsSep","WK"
"579","trill-f","T0000302","PupsSep","WK"
"580","short","T0000302","PupsSep","WK"
